datetime,Price,kWh,Temperature,Bill
2015-01-01,3.47,3.67,1.2,12.7
2015-01-01,3.4,4.148,1.5,14.1
2015-01-01,2.9,4.342,1.6,12.6
2015-01-01,2.4,2.095,2.8,5.0
2015-01-01,2.19,0.985,3.4,2.2
2015-01-01,2.17,0.962,3.8,2.1
2015-01-01,2.24,2.467,3.9,5.5
2015-01-01,3.13,1.415,4.6,4.4
2015-01-01,3.32,1.313,4.3,4.4
2015-01-01,3.34,1.24,4.0,4.1
2015-01-01,3.26,1.249,3.9,4.1
2015-01-01,3.23,1.211,3.0,3.9
2015-01-01,3.17,2.797,3.5,8.9
2015-01-01,3.21,2.001,3.0,6.4
2015-01-01,3.15,1.828,1.6,5.8
2015-01-01,3.32,1.317,1.6,4.4
2015-01-01,3.41,1.211,0.4,4.1
2015-01-01,3.51,1.116,2.1,3.9
2015-01-01,3.52,1.238,0.2,4.4
2015-01-01,3.49,1.29,1.6,4.5
2015-01-01,3.45,2.671,1.1,9.2
2015-01-01,3.41,1.858,1.0,6.3
2015-01-01,3.36,3.89,1.5,13.1
2015-01-01,3.27,3.877,2.0,12.7
2015-01-02,2.28,3.694,2.0,8.4
2015-01-02,2.2,4.571,2.0,10.1
2015-01-02,1.19,3.73,1.8,4.4
2015-01-02,0.95,1.67,1.7,1.6
2015-01-02,1.34,1.809,1.1,2.4
2015-01-02,2.87,0.767,1.1,2.2
2015-01-02,3.24,1.642,1.3,5.3
2015-01-02,3.38,1.108,1.1,3.7
2015-01-02,3.52,1.512,1.0,5.3
2015-01-02,3.52,1.799,0.8,6.3
2015-01-02,3.51,2.908,0.6,10.2
2015-01-02,3.51,1.624,0.5,5.7
2015-01-02,3.52,1.726,0.5,6.1
2015-01-02,3.51,1.164,0.5,4.1
2015-01-02,3.56,1.077,0.6,3.8
2015-01-02,3.61,2.575,0.4,9.3
2015-01-02,3.67,4.233,0.2,15.5
2015-01-02,3.65,2.099,0.3,7.7
2015-01-02,3.65,1.695,0.2,6.2
2015-01-02,3.53,1.381,0.2,4.9
2015-01-02,3.52,0.936,0.2,3.3
2015-01-02,3.45,0.337,0.2,1.2
2015-01-02,3.4,2.0,0.3,6.8
2015-01-02,3.37,4.324,0.3,14.6
2015-01-03,3.22,3.779,0.3,12.2
2015-01-03,2.18,3.314,0.3,7.2
2015-01-03,2.09,3.921,0.3,8.2
2015-01-03,0.71,1.397,0.3,1.0
2015-01-03,0.63,0.388,0.3,0.2
2015-01-03,0.95,1.177,0.4,1.1
2015-01-03,2.96,1.452,0.4,4.3
2015-01-03,2.84,1.505,0.3,4.3
2015-01-03,3.32,1.907,0.2,6.3
2015-01-03,3.35,1.504,-0.9,5.0
2015-01-03,3.41,1.073,-1.5,3.7
2015-01-03,3.44,1.028,-2.3,3.5
2015-01-03,3.44,1.788,-2.7,6.2
2015-01-03,3.43,2.803,-3.2,9.6
2015-01-03,3.43,2.922,-3.6,10.0
2015-01-03,3.45,1.848,-3.8,6.4
2015-01-03,3.75,1.709,-3.9,6.4
2015-01-03,3.86,1.693,-4.0,6.5
2015-01-03,3.85,1.948,-4.1,7.5
2015-01-03,3.8,2.148,-3.9,8.2
2015-01-03,3.65,1.332,-3.8,4.9
2015-01-03,3.56,2.223,-3.7,7.9
2015-01-03,3.46,2.12,-3.7,7.3
2015-01-03,3.43,4.456,-4.4,15.3
2015-01-04,3.38,4.192,-4.8,14.2
2015-01-04,3.42,3.186,-4.5,10.9
2015-01-04,3.4,1.198,-4.4,4.1
2015-01-04,3.37,2.374,-5.0,8.0
2015-01-04,3.35,2.639,-5.5,8.8
2015-01-04,3.35,1.856,-5.5,6.2
2015-01-04,3.37,2.328,-5.6,7.8
2015-01-04,3.36,1.535,-5.7,5.2
2015-01-04,3.36,1.719,-6.4,5.8
2015-01-04,3.43,1.768,-7.8,6.1
2015-01-04,3.48,2.872,-8.6,10.0
2015-01-04,3.5,3.56,-8.3,12.5
2015-01-04,3.51,1.015,-7.7,3.6
2015-01-04,3.5,1.365,-7.6,4.8
2015-01-04,3.51,2.079,-7.7,7.3
2015-01-04,3.51,1.878,-8.2,6.6
2015-01-04,3.84,2.203,-8.5,8.5
2015-01-04,3.86,1.945,-9.1,7.5
2015-01-04,3.85,1.569,-9.5,6.0
2015-01-04,3.85,1.948,-10.0,7.5
2015-01-04,3.83,2.2,-10.4,8.4
2015-01-04,3.65,2.762,-10.9,10.1
2015-01-04,3.69,3.89,-11.5,14.4
2015-01-04,3.6,4.106,-11.9,14.8
2015-01-05,3.47,3.486,-12.3,12.1
2015-01-05,3.6,1.609,-12.8,5.8
2015-01-05,3.58,1.481,-13.1,5.3
2015-01-05,3.58,2.166,-13.9,7.8
2015-01-05,3.59,2.247,-14.4,8.1
2015-01-05,3.64,1.917,-14.6,7.0
2015-01-05,4.46,1.791,-14.8,8.0
2015-01-05,4.82,1.749,-16.4,8.4
2015-01-05,5.58,1.906,-18.3,10.6
2015-01-05,5.58,3.357,-19.6,18.7
2015-01-05,5.58,3.121,-19.7,17.4
2015-01-05,5.58,3.04,-18.6,17.0
2015-01-05,5.58,2.61,-16.7,14.6
2015-01-05,5.59,1.976,-20.2,11.0
2015-01-05,5.59,2.375,-21.3,13.3
2015-01-05,5.59,2.431,-19.3,13.6
2015-01-05,5.71,1.982,-17.4,11.3
2015-01-05,5.79,4.445,-19.0,25.7
2015-01-05,7.04,3.429,-19.6,24.1
2015-01-05,7.3,1.925,-18.2,14.1
2015-01-05,6.1,2.2,-17.9,13.4
2015-01-05,5.5,2.273,-19.5,12.5
2015-01-05,5.59,3.877,-19.3,21.7
2015-01-05,4.04,6.122,-20.4,24.7
2015-01-06,3.72,6.501,-20.4,24.2
2015-01-06,3.72,5.696,-20.3,21.2
2015-01-06,3.7,4.281,-20.0,15.8
2015-01-06,3.65,2.432,-21.0,8.9
2015-01-06,3.61,2.684,-20.4,9.7
2015-01-06,3.66,4.036,-18.1,14.8
2015-01-06,3.68,3.924,-19.4,14.4
2015-01-06,3.68,3.155,-19.7,11.6
2015-01-06,3.81,3.082,-20.4,11.7
2015-01-06,3.85,3.213,-20.4,12.4
2015-01-06,3.99,3.467,-20.8,13.8
2015-01-06,4.14,4.168,-20.8,17.3
2015-01-06,4.2,3.953,-20.7,16.6
2015-01-06,4.0,2.927,-20.1,11.7
2015-01-06,3.86,1.878,-19.3,7.2
2015-01-06,4.17,1.496,-17.9,6.2
2015-01-06,4.69,2.01,-16.1,9.4
2015-01-06,4.9,3.241,-15.5,15.9
2015-01-06,4.83,2.928,-13.5,14.1
2015-01-06,4.68,2.631,-12.1,12.3
2015-01-06,4.33,2.673,-11.7,11.6
2015-01-06,4.11,1.32,-11.5,5.4
2015-01-06,4.08,0.721,-10.9,2.9
2015-01-06,3.76,3.778,-11.4,14.2
2015-01-07,3.48,3.556,-11.5,12.4
2015-01-07,3.27,5.219,-10.4,17.1
2015-01-07,3.23,4.771,-9.0,15.4
2015-01-07,3.23,3.134,-8.2,10.1
2015-01-07,3.25,0.907,-7.8,2.9
2015-01-07,3.32,2.269,-6.7,7.5
2015-01-07,3.7,2.585,-4.8,9.6
2015-01-07,4.34,1.86,-4.9,8.1
2015-01-07,4.99,1.401,-4.4,7.0
2015-01-07,4.87,2.297,-4.3,11.2
2015-01-07,4.35,1.681,-3.7,7.3
2015-01-07,4.23,1.253,-2.8,5.3
2015-01-07,4.2,1.768,-2.2,7.4
2015-01-07,4.23,2.213,-1.2,9.4
2015-01-07,4.19,4.16,-0.2,17.4
2015-01-07,4.62,2.718,0.3,12.6
2015-01-07,4.64,1.406,0.5,6.5
2015-01-07,5.05,1.218,0.4,6.2
2015-01-07,5.1,1.61,0.4,8.2
2015-01-07,4.4,1.814,0.4,8.0
2015-01-07,4.12,3.051,0.4,12.6
